sample_barcode,patient_barcode,CNV_PC1,CNV_PC2,CNV_PC3,CNV_PC4,CNV_PC5,CNV_PC6,CNV_PC7,CNV_PC8,CNV_PC9,CNV_PC10,CNV_PC11,CNV_PC12,CNV_PC13,CNV_PC14,CNV_PC15,CNV_PC16,CNV_PC17,CNV_PC18,CNV_PC19,CNV_PC20,CNV_PC21,CNV_PC22,CNV_PC23,CNV_PC24,CNV_PC25,CNV_PC26,CNV_PC27,CNV_PC28,CNV_PC29,CNV_PC30
TCGA-3M-AB47-01,TCGA-3M-AB47,-34.29308220895926,25.070817644821126,-6.739322817201898,5.4490129841186645,-6.726470148995943,5.710526118076474,-4.8021884213747095,5.302898717537787,-9.399596121524029,7.583499851831011,3.7204433028461503,-1.2442050972922396,2.628103504584379,-8.481543290262213,14.284502800637588,-3.5010029832677647,0.27058308977003825,-4.851679402141814,2.126273254050405,-1.171911261060984,1.8398315889224037,-0.024587618127789854,-1.9793173945444116,1.8497876925288712,-3.022954040919572,1.1755688856374307,0.3342174166208344,-0.22648655859694347,1.0338036229713339,-2.643496409526874
TCGA-B7-5816-01,TCGA-B7-5816,-7.131938312262568,14.255612572660008,-19.305083107925014,-32.25466012128987,1.3199800704225548,-12.46544970077135,4.627810649723733,-7.958652898313808,-3.90449185625996,2.4110892814052782,-0.5663746714554805,-2.8233668529413265,-1.2539399780116613,1.7223149454465636,1.763220813693597,-1.0076779673568967,0.25369313173321817,-0.6661423554427756,1.139908242144074,1.528751049928581,0.7744535950463134,1.505766734584834,-1.0646557987443934,-0.3939424813707428,-0.7815412524663772,-1.6127521353352712,-0.5684797336739665,1.308225180418322,2.1911371253357568,0.23354236412489213
TCGA-B7-5818-01,TCGA-B7-5818,-8.46116228139724,-25.6868506670224,4.048758653476806,-12.000506223850104,9.813861816252954,-4.369045340920118,12.07522680487505,8.776588798324243,0.6074324249777439,-0.538759051715288,-10.261482997558694,-0.8228717531156987,0.477350147352945,-4.847176932598121,0.16464348711764898,-4.0053682336906995,-3.8134296449471408,-2.3339034281472637,-3.8251905398536805,0.509874020455601,-2.9238408649234255,2.3018833130577896,1.028105658248102,-0.09798607194594952,-0.2750710870709641,-1.513167131190839,0.5490081315955867,2.9743644558654863,-1.96575175396323,1.0594263902936683
TCGA-B7-A5TI-01,TCGA-B7-A5TI,0.8514039145211199,-31.401679243033076,20.920826476411662,-39.0891107995598,5.009752953665463,-3.9728715449449137,2.714046299574122,9.43237217977812,11.729800518801198,-2.854287927615714,13.551765384861849,3.0049971021585153,-7.503286756558384,0.837055919204321,-19.82781946903472,-1.5088023637069252,-14.28607761879587,1.000184388144292,-0.3189938420516086,-7.0466589119908365,4.892793380023809,3.093651495022223,6.242684609356144,7.967958327810929,7.018962391785278,-2.3705147569495066,0.8204003604191831,3.3858695297218335,5.048586104959615,4.946618402734365
TCGA-B7-A5TJ-01,TCGA-B7-A5TJ,-2.406379251928764,-26.855511065157305,-26.35145462903131,-13.827939611271052,28.78089034426093,8.561427449368631,23.524761350013648,-4.810673996844296,2.1113949286624885,-14.335813583886958,14.929249018644303,1.838113993305391,2.2996013986832065,-1.7979048940408484,0.43829258401437166,8.864452178573265,0.2748402618469252,-1.2872734374687156,9.371992476774627,-3.1962214679002567,0.10820905751134402,0.34369751930059667,-1.653905687419329,-1.10568724400909,2.7936508724490534,-2.5385890620483327,-0.18791604808286277,0.9856992283745685,0.05960260286570292,-3.3990254747756614
TCGA-B7-A5TK-01,TCGA-B7-A5TK,-30.554299814354064,21.862042906071473,-8.773381579909758,1.0246463332181772,-7.179083009143166,22.130477410676203,14.529873711363196,5.385204088479469,0.7862496461980996,5.676334362387555,2.3823498523463766,-2.6754634764705783,0.3653547575487614,-3.505027161138332,-0.6576047393612054,-3.6228182366744304,0.7376271637017736,0.949773448420551,-2.842155702521788,2.485385828878636,0.9763943227841934,-0.5612566731258327,-2.4297416902809523,-0.8902535729707168,-2.8519647052923944,4.429296215359554,-0.30793587159217484,1.0543518554120053,-1.9970383932416824,-1.1554843434361994
TCGA-B7-A5TN-01,TCGA-B7-A5TN,15.31440865855795,12.785085027330883,29.622486456841397,-39.946966651794135,27.15479019000629,-2.750900110815599,-7.323484000414084,-8.529863063862456,18.097318760555492,-22.581325571812567,15.351352527424861,7.577127146457768,3.053433884232199,-24.68800509415817,0.6876317499495616,-8.600078305775,-0.8327804834996495,8.23822520915307,-2.0648386827808376,-17.49302489928179,1.1003811837129296,-6.134891704173344,-3.8445087517805967,2.61070262870727,2.653804514403106,-6.0887400315611275,4.343339852975648,-2.6603205864220296,0.31048103526072773,-2.5665679143847835
TCGA-BR-6452-01,TCGA-BR-6452,-7.105017416259461,13.874184428638197,-20.627704968595864,-13.096446970831499,-0.471402277553459,-5.615460508842784,1.436249456906281,-5.319715642824891,-2.13038753192566,1.7650209134057435,-0.17639864503775118,-2.107225551506957,-1.2177653729487348,0.24304032648769117,0.9446169068336832,-0.9179959318613036,0.6135396697002456,-0.5522866063949131,0.4962977300705756,0.5381228905173614,0.7098243956028965,0.8123766700807886,-0.15151381244731643,0.42481805255180066,-0.603432111072383,-0.18216224703675565,-0.5815209235287644,0.6380168087444368,1.1979096527791078,0.28848201562725584
TCGA-BR-6453-01,TCGA-BR-6453,-8.082523224460147,11.837748269297535,-18.234972543078353,10.294897665177217,16.04133609731744,-3.5677248487318427,4.047776371562375,0.6304586127015582,-0.09173357559780476,0.06571118406164311,2.061805126212103,-4.0101423711036155,-0.05752931739841584,-0.9864909567318673,0.5318635684990167,-3.0063188307824533,1.1963210342558066,-0.8010610370927644,0.4125856992229584,1.1929837824261647,0.5773757444618568,1.140618160548448,-0.8294905190351605,0.23479645641980615,-0.8692887952319857,1.5770387166617288,0.4808044608441287,0.1095721587815816,0.4136630202115719,-0.11855117852721785
TCGA-BR-6454-01,TCGA-BR-6454,43.897778938351905,7.9915387630191415,4.8997509797402445,1.8793150509327008,1.7693250921263788,11.985466838793794,-25.350209780559712,14.599108276527646,0.9933641228257173,5.8101973537618194,-8.44912957082237,-12.656656908250799,3.354695701903289,-7.819137221759815,2.9458331540259297,4.2578655567100485,3.043660541424922,3.7854332461969027,7.3807050549842925,13.000163338210942,-6.098222742804265,-1.8952237689431448,-7.960758915114377,6.828911833879875,-7.355005606279885,12.718466872076963,14.050642492118333,3.5729223683785065,-2.4078504166317205,4.106705442286839
