sample_barcode,patient_barcode
TCGA-3M-AB47-01,TCGA-3M-AB47
TCGA-B7-5816-01,TCGA-B7-5816
TCGA-B7-5818-01,TCGA-B7-5818
TCGA-B7-A5TI-01,TCGA-B7-A5TI
TCGA-B7-A5TJ-01,TCGA-B7-A5TJ
TCGA-B7-A5TK-01,TCGA-B7-A5TK
TCGA-B7-A5TN-01,TCGA-B7-A5TN
TCGA-BR-6452-01,TCGA-BR-6452
TCGA-BR-6453-01,TCGA-BR-6453
TCGA-BR-6454-01,TCGA-BR-6454
TCGA-BR-6455-01,TCGA-BR-6455
TCGA-BR-6456-01,TCGA-BR-6456
TCGA-BR-6457-01,TCGA-BR-6457
TCGA-BR-6458-01,TCGA-BR-6458
TCGA-BR-6564-01,TCGA-BR-6564
TCGA-BR-6565-01,TCGA-BR-6565
TCGA-BR-6566-01,TCGA-BR-6566
TCGA-BR-6705-01,TCGA-BR-6705
TCGA-BR-6706-01,TCGA-BR-6706
TCGA-BR-6707-01,TCGA-BR-6707
TCGA-BR-6709-01,TCGA-BR-6709
TCGA-BR-6801-01,TCGA-BR-6801
TCGA-BR-6802-01,TCGA-BR-6802
TCGA-BR-6803-01,TCGA-BR-6803
TCGA-BR-6852-01,TCGA-BR-6852
TCGA-BR-7196-01,TCGA-BR-7196
TCGA-BR-7197-01,TCGA-BR-7197
TCGA-BR-7703-01,TCGA-BR-7703
TCGA-BR-7704-01,TCGA-BR-7704
TCGA-BR-7715-01,TCGA-BR-7715
TCGA-BR-7716-01,TCGA-BR-7716
TCGA-BR-7717-01,TCGA-BR-7717
TCGA-BR-7722-01,TCGA-BR-7722
TCGA-BR-7723-01,TCGA-BR-7723
TCGA-BR-7851-01,TCGA-BR-7851
TCGA-BR-7901-01,TCGA-BR-7901
TCGA-BR-7957-01,TCGA-BR-7957
TCGA-BR-7958-01,TCGA-BR-7958
TCGA-BR-7959-01,TCGA-BR-7959
TCGA-BR-8058-01,TCGA-BR-8058
TCGA-BR-8059-01,TCGA-BR-8059
TCGA-BR-8060-01,TCGA-BR-8060
TCGA-BR-8080-01,TCGA-BR-8080
TCGA-BR-8081-01,TCGA-BR-8081
TCGA-BR-8284-01,TCGA-BR-8284
TCGA-BR-8286-01,TCGA-BR-8286
TCGA-BR-8289-01,TCGA-BR-8289
TCGA-BR-8291-01,TCGA-BR-8291
TCGA-BR-8295-01,TCGA-BR-8295
TCGA-BR-8296-01,TCGA-BR-8296
TCGA-BR-8297-01,TCGA-BR-8297
TCGA-BR-8361-01,TCGA-BR-8361
TCGA-BR-8363-01,TCGA-BR-8363
TCGA-BR-8364-01,TCGA-BR-8364
TCGA-BR-8365-01,TCGA-BR-8365
TCGA-BR-8366-01,TCGA-BR-8366
TCGA-BR-8367-01,TCGA-BR-8367
TCGA-BR-8368-01,TCGA-BR-8368
TCGA-BR-8369-01,TCGA-BR-8369
TCGA-BR-8371-01,TCGA-BR-8371
TCGA-BR-8372-01,TCGA-BR-8372
TCGA-BR-8380-01,TCGA-BR-8380
TCGA-BR-8381-01,TCGA-BR-8381
TCGA-BR-8382-01,TCGA-BR-8382
TCGA-BR-8384-01,TCGA-BR-8384
TCGA-BR-8483-01,TCGA-BR-8483
TCGA-BR-8484-01,TCGA-BR-8484
TCGA-BR-8485-01,TCGA-BR-8485
TCGA-BR-8486-01,TCGA-BR-8486
TCGA-BR-8588-01,TCGA-BR-8588
TCGA-BR-8589-01,TCGA-BR-8589
TCGA-BR-8590-01,TCGA-BR-8590
TCGA-BR-8591-01,TCGA-BR-8591
TCGA-BR-8592-01,TCGA-BR-8592
TCGA-BR-8676-01,TCGA-BR-8676
TCGA-BR-8677-01,TCGA-BR-8677
TCGA-BR-8678-01,TCGA-BR-8678
TCGA-BR-8679-01,TCGA-BR-8679
TCGA-BR-8680-01,TCGA-BR-8680
TCGA-BR-8682-01,TCGA-BR-8682
TCGA-BR-8683-01,TCGA-BR-8683
TCGA-BR-8686-01,TCGA-BR-8686
TCGA-BR-8687-01,TCGA-BR-8687
TCGA-BR-8690-01,TCGA-BR-8690
TCGA-BR-A44T-01,TCGA-BR-A44T
TCGA-BR-A44U-01,TCGA-BR-A44U
TCGA-BR-A452-01,TCGA-BR-A452
TCGA-BR-A453-01,TCGA-BR-A453
TCGA-BR-A4CR-01,TCGA-BR-A4CR
TCGA-BR-A4CS-01,TCGA-BR-A4CS
TCGA-BR-A4IU-01,TCGA-BR-A4IU
TCGA-BR-A4IV-01,TCGA-BR-A4IV
TCGA-BR-A4IY-01,TCGA-BR-A4IY
TCGA-BR-A4IZ-01,TCGA-BR-A4IZ
TCGA-BR-A4J1-01,TCGA-BR-A4J1
TCGA-BR-A4J2-01,TCGA-BR-A4J2
TCGA-BR-A4J4-01,TCGA-BR-A4J4
TCGA-BR-A4J5-01,TCGA-BR-A4J5
TCGA-BR-A4J6-01,TCGA-BR-A4J6
TCGA-BR-A4J7-01,TCGA-BR-A4J7
TCGA-BR-A4J8-01,TCGA-BR-A4J8
TCGA-BR-A4J9-01,TCGA-BR-A4J9
TCGA-BR-A4PD-01,TCGA-BR-A4PD
TCGA-BR-A4PE-01,TCGA-BR-A4PE
TCGA-BR-A4PF-01,TCGA-BR-A4PF
TCGA-BR-A4QI-01,TCGA-BR-A4QI
TCGA-BR-A4QL-01,TCGA-BR-A4QL
TCGA-BR-A4QM-01,TCGA-BR-A4QM
TCGA-CD-5798-01,TCGA-CD-5798
TCGA-CD-5799-01,TCGA-CD-5799
TCGA-CD-5800-01,TCGA-CD-5800
TCGA-CD-5801-01,TCGA-CD-5801
TCGA-CD-5803-01,TCGA-CD-5803
TCGA-CD-5804-01,TCGA-CD-5804
TCGA-CD-8524-01,TCGA-CD-8524
TCGA-CD-8525-01,TCGA-CD-8525
TCGA-CD-8526-01,TCGA-CD-8526
TCGA-CD-8527-01,TCGA-CD-8527
TCGA-CD-8528-01,TCGA-CD-8528
TCGA-CD-8529-01,TCGA-CD-8529
TCGA-CD-8530-01,TCGA-CD-8530
TCGA-CD-8531-01,TCGA-CD-8531
TCGA-CD-8532-01,TCGA-CD-8532
TCGA-CD-8533-01,TCGA-CD-8533
TCGA-CD-8534-01,TCGA-CD-8534
TCGA-CD-8535-01,TCGA-CD-8535
TCGA-CD-8536-01,TCGA-CD-8536
TCGA-CD-A486-01,TCGA-CD-A486
TCGA-CD-A487-01,TCGA-CD-A487
TCGA-CD-A489-01,TCGA-CD-A489
TCGA-CD-A48A-01,TCGA-CD-A48A
TCGA-CD-A48C-01,TCGA-CD-A48C
TCGA-CD-A4MG-01,TCGA-CD-A4MG
TCGA-CD-A4MH-01,TCGA-CD-A4MH
TCGA-CD-A4MI-01,TCGA-CD-A4MI
TCGA-CD-A4MJ-01,TCGA-CD-A4MJ
TCGA-CG-4437-01,TCGA-CG-4437
TCGA-CG-5717-01,TCGA-CG-5717
TCGA-CG-5718-01,TCGA-CG-5718
TCGA-CG-5719-01,TCGA-CG-5719
TCGA-CG-5720-01,TCGA-CG-5720
TCGA-CG-5721-01,TCGA-CG-5721
TCGA-CG-5723-01,TCGA-CG-5723
TCGA-CG-5724-01,TCGA-CG-5724
TCGA-CG-5725-01,TCGA-CG-5725
TCGA-CG-5726-01,TCGA-CG-5726
TCGA-CG-5732-01,TCGA-CG-5732
TCGA-CG-5734-01,TCGA-CG-5734
TCGA-D7-5577-01,TCGA-D7-5577
TCGA-D7-5578-01,TCGA-D7-5578
TCGA-D7-6518-01,TCGA-D7-6518
TCGA-D7-6519-01,TCGA-D7-6519
TCGA-D7-6520-01,TCGA-D7-6520
TCGA-D7-6521-01,TCGA-D7-6521
TCGA-D7-6522-01,TCGA-D7-6522
TCGA-D7-6524-01,TCGA-D7-6524
TCGA-D7-6525-01,TCGA-D7-6525
TCGA-D7-6527-01,TCGA-D7-6527
TCGA-D7-6528-01,TCGA-D7-6528
TCGA-D7-6815-01,TCGA-D7-6815
TCGA-D7-6817-01,TCGA-D7-6817
TCGA-D7-6818-01,TCGA-D7-6818
TCGA-D7-6820-01,TCGA-D7-6820
TCGA-D7-6822-01,TCGA-D7-6822
TCGA-D7-8570-01,TCGA-D7-8570
TCGA-D7-8572-01,TCGA-D7-8572
TCGA-D7-8573-01,TCGA-D7-8573
TCGA-D7-8574-01,TCGA-D7-8574
TCGA-D7-8575-01,TCGA-D7-8575
TCGA-D7-8578-01,TCGA-D7-8578
TCGA-D7-A4YT-01,TCGA-D7-A4YT
TCGA-D7-A4YU-01,TCGA-D7-A4YU
TCGA-D7-A4YV-01,TCGA-D7-A4YV
TCGA-D7-A4YX-01,TCGA-D7-A4YX
TCGA-D7-A4YY-01,TCGA-D7-A4YY
TCGA-D7-A4Z0-01,TCGA-D7-A4Z0
TCGA-D7-A6EV-01,TCGA-D7-A6EV
TCGA-D7-A6EX-01,TCGA-D7-A6EX
TCGA-D7-A6EY-01,TCGA-D7-A6EY
TCGA-D7-A6EZ-01,TCGA-D7-A6EZ
TCGA-D7-A6F0-01,TCGA-D7-A6F0
TCGA-D7-A748-01,TCGA-D7-A748
TCGA-EQ-8122-01,TCGA-EQ-8122
TCGA-EQ-A4SO-01,TCGA-EQ-A4SO
TCGA-F1-6177-01,TCGA-F1-6177
TCGA-F1-6874-01,TCGA-F1-6874
TCGA-F1-6875-01,TCGA-F1-6875
TCGA-F1-A448-01,TCGA-F1-A448
TCGA-F1-A72C-01,TCGA-F1-A72C
TCGA-FP-7916-01,TCGA-FP-7916
TCGA-FP-7998-01,TCGA-FP-7998
TCGA-HF-7132-01,TCGA-HF-7132
TCGA-HF-7133-01,TCGA-HF-7133
TCGA-HF-7134-01,TCGA-HF-7134
TCGA-HF-7136-01,TCGA-HF-7136
TCGA-HF-A5NB-01,TCGA-HF-A5NB
TCGA-HJ-7597-01,TCGA-HJ-7597
TCGA-HU-8602-01,TCGA-HU-8602
TCGA-HU-8608-01,TCGA-HU-8608
TCGA-HU-8610-01,TCGA-HU-8610
TCGA-HU-A4GF-01,TCGA-HU-A4GF
TCGA-HU-A4GQ-01,TCGA-HU-A4GQ
TCGA-HU-A4GT-01,TCGA-HU-A4GT
TCGA-HU-A4GU-01,TCGA-HU-A4GU
TCGA-HU-A4GX-01,TCGA-HU-A4GX
TCGA-HU-A4GY-01,TCGA-HU-A4GY
TCGA-HU-A4H2-01,TCGA-HU-A4H2
TCGA-HU-A4H3-01,TCGA-HU-A4H3
TCGA-HU-A4H4-01,TCGA-HU-A4H4
TCGA-HU-A4H5-01,TCGA-HU-A4H5
TCGA-HU-A4HD-01,TCGA-HU-A4HD
TCGA-IN-7806-01,TCGA-IN-7806
TCGA-IN-7808-01,TCGA-IN-7808
TCGA-IN-8462-01,TCGA-IN-8462
TCGA-IN-8663-01,TCGA-IN-8663
TCGA-IN-A6RI-01,TCGA-IN-A6RI
TCGA-IN-A6RL-01,TCGA-IN-A6RL
TCGA-IN-A6RN-01,TCGA-IN-A6RN
TCGA-IN-A6RO-01,TCGA-IN-A6RO
TCGA-IN-A6RR-01,TCGA-IN-A6RR
TCGA-IN-A6RS-01,TCGA-IN-A6RS
TCGA-IN-A7NR-01,TCGA-IN-A7NR
TCGA-IN-A7NT-01,TCGA-IN-A7NT
TCGA-IN-A7NU-01,TCGA-IN-A7NU
TCGA-IN-AB1V-01,TCGA-IN-AB1V
TCGA-IN-AB1X-01,TCGA-IN-AB1X
TCGA-IP-7968-01,TCGA-IP-7968
TCGA-MX-A5UG-01,TCGA-MX-A5UG
TCGA-RD-A7BS-01,TCGA-RD-A7BS
TCGA-RD-A7BW-01,TCGA-RD-A7BW
TCGA-RD-A7C1-01,TCGA-RD-A7C1
TCGA-RD-A8MV-01,TCGA-RD-A8MV
TCGA-RD-A8MW-01,TCGA-RD-A8MW
TCGA-RD-A8N0-01,TCGA-RD-A8N0
TCGA-RD-A8N1-01,TCGA-RD-A8N1
