sample_barcode,patient_barcode,missing_count,missing_rate
TCGA-VQ-A91W-01,TCGA-VQ-A91W,1413,0.6487603305785123
TCGA-VQ-A8PD-01,TCGA-VQ-A8PD,1306,0.5996326905417815
TCGA-CD-5801-01,TCGA-CD-5801,1249,0.5734618916437099
TCGA-BR-8682-01,TCGA-BR-8682,1513,0.6946740128558311
TCGA-BR-8590-01,TCGA-BR-8590,1454,0.667584940312213
TCGA-HU-8608-01,TCGA-HU-8608,1497,0.6873278236914601
TCGA-MX-A663-01,TCGA-MX-A663,1137,0.522038567493113
TCGA-CD-5813-01,TCGA-CD-5813,1155,0.5303030303030303
TCGA-VQ-AA6I-01,TCGA-VQ-AA6I,1374,0.6308539944903582
TCGA-HF-7133-01,TCGA-HF-7133,1490,0.6841138659320477
TCGA-HU-8244-01,TCGA-HU-8244,1507,0.6919191919191919
TCGA-BR-6456-01,TCGA-BR-6456,1282,0.588613406795225
TCGA-FP-8211-01,TCGA-FP-8211,1383,0.6349862258953168
TCGA-BR-8366-01,TCGA-BR-8366,1536,0.7052341597796143
TCGA-HU-8610-01,TCGA-HU-8610,1486,0.682277318640955
TCGA-IN-AB1X-01,TCGA-IN-AB1X,1296,0.5950413223140496
TCGA-BR-A4J7-01,TCGA-BR-A4J7,1454,0.667584940312213
TCGA-D7-A6EV-01,TCGA-D7-A6EV,1197,0.5495867768595041
TCGA-D7-6520-01,TCGA-D7-6520,1292,0.5932047750229569
TCGA-CD-8536-01,TCGA-CD-8536,1469,0.6744719926538109
TCGA-BR-8365-01,TCGA-BR-8365,1425,0.6542699724517906
TCGA-VQ-A8PU-01,TCGA-VQ-A8PU,1399,0.6423324150596877
TCGA-HU-A4H6-01,TCGA-HU-A4H6,1290,0.5922865013774105
TCGA-BR-6458-01,TCGA-BR-6458,1248,0.5730027548209367
TCGA-RD-A7C1-01,TCGA-RD-A7C1,1489,0.6836547291092746
TCGA-HU-8604-01,TCGA-HU-8604,1419,0.6515151515151515
TCGA-BR-8291-01,TCGA-BR-8291,1394,0.6400367309458218
TCGA-CG-5718-01,TCGA-CG-5718,1203,0.5523415977961432
TCGA-D7-6817-01,TCGA-D7-6817,1379,0.6331496786042241
TCGA-BR-8360-01,TCGA-BR-8360,1484,0.6813590449954087
TCGA-RD-A7BW-01,TCGA-RD-A7BW,1417,0.6505968778696052
TCGA-BR-6707-01,TCGA-BR-6707,1306,0.5996326905417815
TCGA-D7-8572-01,TCGA-D7-8572,1417,0.6505968778696052
TCGA-VQ-AA6D-01,TCGA-VQ-AA6D,1329,0.6101928374655647
TCGA-BR-7723-01,TCGA-BR-7723,1230,0.5647382920110193
TCGA-FP-7916-01,TCGA-FP-7916,1496,0.6868686868686869
TCGA-D7-A6EZ-01,TCGA-D7-A6EZ,1440,0.6611570247933884
TCGA-CG-5730-01,TCGA-CG-5730,1202,0.55188246097337
TCGA-BR-A4CQ-01,TCGA-BR-A4CQ,1419,0.6515151515151515
TCGA-HU-A4H2-01,TCGA-HU-A4H2,1514,0.6951331496786042
TCGA-F1-6875-01,TCGA-F1-6875,1399,0.6423324150596877
TCGA-CG-5722-01,TCGA-CG-5722,1236,0.5674931129476584
TCGA-HU-A4H0-01,TCGA-HU-A4H0,1626,0.7465564738292011
TCGA-CG-5720-01,TCGA-CG-5720,1288,0.5913682277318641
TCGA-VQ-A91S-01,TCGA-VQ-A91S,1299,0.5964187327823691
TCGA-BR-A4IV-01,TCGA-BR-A4IV,1425,0.6542699724517906
TCGA-D7-8576-01,TCGA-D7-8576,1440,0.6611570247933884
TCGA-VQ-A91Z-01,TCGA-VQ-A91Z,1416,0.650137741046832
TCGA-BR-8368-01,TCGA-BR-8368,1423,0.6533516988062442
TCGA-BR-7717-01,TCGA-BR-7717,1489,0.6836547291092746
TCGA-HU-8243-01,TCGA-HU-8243,1444,0.6629935720844812
TCGA-BR-8686-01,TCGA-BR-8686,1494,0.6859504132231405
TCGA-ZA-A8F6-01,TCGA-ZA-A8F6,1452,0.6666666666666666
TCGA-RD-A8N0-01,TCGA-RD-A8N0,1445,0.6634527089072544
TCGA-BR-A4IZ-01,TCGA-BR-A4IZ,1288,0.5913682277318641
TCGA-VQ-A928-01,TCGA-VQ-A928,1298,0.5959595959595959
TCGA-BR-7958-01,TCGA-BR-7958,1473,0.6763085399449036
TCGA-VQ-A8PH-01,TCGA-VQ-A8PH,1256,0.5766758494031221
TCGA-BR-7851-01,TCGA-BR-7851,1477,0.6781450872359963
TCGA-BR-8384-01,TCGA-BR-8384,1472,0.6758494031221304
TCGA-VQ-A924-01,TCGA-VQ-A924,1345,0.6175390266299358
TCGA-IN-A7NR-01,TCGA-IN-A7NR,1308,0.6005509641873278
TCGA-HU-A4G2-01,TCGA-HU-A4G2,1633,0.7497704315886135
TCGA-CD-8532-01,TCGA-CD-8532,1434,0.6584022038567493
TCGA-FP-A4BE-01,TCGA-FP-A4BE,1470,0.6749311294765841
TCGA-HU-A4HD-01,TCGA-HU-A4HD,1527,0.7011019283746557
TCGA-HU-8245-01,TCGA-HU-8245,1569,0.7203856749311295
TCGA-CD-8526-01,TCGA-CD-8526,1243,0.5707070707070707
TCGA-BR-7703-01,TCGA-BR-7703,1393,0.6395775941230487
TCGA-IN-8663-01,TCGA-IN-8663,1329,0.6101928374655647
TCGA-B7-A5TJ-01,TCGA-B7-A5TJ,1321,0.6065197428833793
TCGA-VQ-A91Y-01,TCGA-VQ-A91Y,1294,0.5941230486685032
TCGA-BR-8380-01,TCGA-BR-8380,1436,0.6593204775022957
TCGA-BR-8372-01,TCGA-BR-8372,1359,0.6239669421487604
TCGA-MX-A5UJ-01,TCGA-MX-A5UJ,1173,0.5385674931129476
TCGA-BR-A453-01,TCGA-BR-A453,1397,0.6414141414141414
TCGA-VQ-A8P3-01,TCGA-VQ-A8P3,1479,0.6790633608815427
TCGA-3M-AB47-01,TCGA-3M-AB47,1384,0.63544536271809
TCGA-BR-8077-01,TCGA-BR-8077,1390,0.6382001836547291
TCGA-BR-8289-01,TCGA-BR-8289,1485,0.6818181818181818
TCGA-CD-A487-01,TCGA-CD-A487,1380,0.6336088154269972
TCGA-FP-8631-01,TCGA-FP-8631,1295,0.5945821854912764
TCGA-R5-A7O7-01,TCGA-R5-A7O7,1448,0.6648301193755739
TCGA-D7-A747-01,TCGA-D7-A747,1469,0.6744719926538109
TCGA-D7-6518-01,TCGA-D7-6518,1254,0.5757575757575758
TCGA-CG-5724-01,TCGA-CG-5724,1286,0.5904499540863177
TCGA-MX-A666-01,TCGA-MX-A666,1353,0.6212121212121212
TCGA-BR-8690-01,TCGA-BR-8690,1281,0.5881542699724518
TCGA-VQ-A8PX-01,TCGA-VQ-A8PX,1321,0.6065197428833793
TCGA-VQ-A94T-01,TCGA-VQ-A94T,1418,0.6510560146923783
TCGA-HU-A4GY-01,TCGA-HU-A4GY,1361,0.6248852157943067
TCGA-B7-A5TN-01,TCGA-B7-A5TN,1342,0.6161616161616161
TCGA-IN-A6RI-01,TCGA-IN-A6RI,1400,0.642791551882461
TCGA-HU-A4G3-01,TCGA-HU-A4G3,1449,0.6652892561983471
TCGA-CD-5800-01,TCGA-CD-5800,1105,0.507346189164371
TCGA-SW-A7EA-01,TCGA-SW-A7EA,1260,0.5785123966942148
TCGA-IN-A6RP-01,TCGA-IN-A6RP,1500,0.6887052341597796
TCGA-VQ-A8DL-01,TCGA-VQ-A8DL,1423,0.6533516988062442
TCGA-BR-7957-01,TCGA-BR-7957,1490,0.6841138659320477
TCGA-D7-6527-01,TCGA-D7-6527,1238,0.5684113865932048
TCGA-BR-A44U-01,TCGA-BR-A44U,1541,0.7075298438934803
TCGA-BR-6564-01,TCGA-BR-6564,1335,0.6129476584022039
TCGA-FP-7998-01,TCGA-FP-7998,1480,0.6795224977043158
TCGA-HU-8249-01,TCGA-HU-8249,1579,0.7249770431588614
TCGA-VQ-A91N-01,TCGA-VQ-A91N,1394,0.6400367309458218
TCGA-BR-8591-01,TCGA-BR-8591,1429,0.6561065197428834
TCGA-CG-5717-01,TCGA-CG-5717,1327,0.6092745638200183
TCGA-HU-A4GP-01,TCGA-HU-A4GP,1614,0.7410468319559229
TCGA-IN-A6RL-01,TCGA-IN-A6RL,1241,0.5697887970615243
TCGA-IP-7968-01,TCGA-IP-7968,1456,0.6685032139577594
TCGA-D7-A4YU-01,TCGA-D7-A4YU,1430,0.6565656565656566
TCGA-RD-A8NB-01,TCGA-RD-A8NB,1251,0.5743801652892562
TCGA-VQ-AA6A-01,TCGA-VQ-AA6A,1318,0.6051423324150597
TCGA-IN-7806-01,TCGA-IN-7806,1365,0.6267217630853994
TCGA-BR-A4PE-01,TCGA-BR-A4PE,1623,0.7451790633608816
TCGA-BR-8361-01,TCGA-BR-8361,1499,0.6882460973370065
TCGA-D7-A74B-01,TCGA-D7-A74B,1432,0.657483930211203
TCGA-VQ-AA64-01,TCGA-VQ-AA64,1340,0.6152433425160698
TCGA-HF-A5NB-01,TCGA-HF-A5NB,1498,0.6877869605142333
TCGA-BR-8680-01,TCGA-BR-8680,1436,0.6593204775022957
TCGA-VQ-A91E-01,TCGA-VQ-A91E,1327,0.6092745638200183
TCGA-BR-8485-01,TCGA-BR-8485,1282,0.588613406795225
TCGA-CD-5802-01,TCGA-CD-5802,1187,0.5449954086317723
TCGA-BR-8081-01,TCGA-BR-8081,1537,0.7056932966023876
TCGA-BR-8679-01,TCGA-BR-8679,1408,0.6464646464646465
TCGA-BR-8369-01,TCGA-BR-8369,1369,0.6285583103764922
TCGA-D7-6522-01,TCGA-D7-6522,1272,0.5840220385674931
TCGA-BR-6706-01,TCGA-BR-6706,1340,0.6152433425160698
TCGA-CG-4449-01,TCGA-CG-4449,1301,0.5973370064279155
TCGA-VQ-A8E7-01,TCGA-VQ-A8E7,1360,0.6244260789715336
TCGA-RD-A8N6-01,TCGA-RD-A8N6,1442,0.6620752984389348
TCGA-BR-6454-01,TCGA-BR-6454,1224,0.5619834710743802
TCGA-KB-A6F7-01,TCGA-KB-A6F7,1184,0.5436179981634527
TCGA-D7-5578-01,TCGA-D7-5578,1138,0.5224977043158862
TCGA-D7-6818-01,TCGA-D7-6818,1232,0.5656565656565656
TCGA-CG-5719-01,TCGA-CG-5719,1093,0.5018365472910927
TCGA-D7-A4YY-01,TCGA-D7-A4YY,1435,0.6588613406795225
TCGA-BR-6709-01,TCGA-BR-6709,1280,0.5876951331496786
TCGA-CD-8535-01,TCGA-CD-8535,1376,0.6317722681359045
TCGA-RD-A7BS-01,TCGA-RD-A7BS,1459,0.669880624426079
TCGA-FP-7829-01,TCGA-FP-7829,1364,0.6262626262626263
TCGA-BR-8363-01,TCGA-BR-8363,1490,0.6841138659320477
TCGA-BR-8371-01,TCGA-BR-8371,1392,0.6391184573002755
TCGA-R5-A7ZR-01,TCGA-R5-A7ZR,1226,0.5629017447199265
TCGA-VQ-A925-01,TCGA-VQ-A925,1382,0.6345270890725436
