feature_id,missing_rate,missing_count
_PATIENT,0.0,0
OS,0.0,0
OS.time,0.013544018058690745,6
DSS,0.060948081264108354,27
DSS.time,0.013544018058690745,6
DFI,0.4153498871331828,184
DFI.time,0.4198645598194131,186
PFI,0.0,0
PFI.time,0.009029345372460496,4
Redaction,1.0,443
