sample_barcode,patient_barcode,missing_count,missing_rate
TCGA-VQ-A94O-01,TCGA-VQ-A94O,89717,0.18476369350278124
TCGA-BR-8588-01,TCGA-BR-8588,89787,0.18490785189578585
TCGA-HU-8610-01,TCGA-HU-8610,89605,0.18453304007397384
TCGA-D7-6526-01,TCGA-D7-6526,89883,0.1851055548347636
TCGA-VQ-A8PD-01,TCGA-VQ-A8PD,89607,0.18453715888520256
TCGA-D7-6524-01,TCGA-D7-6524,89670,0.1846669014389067
TCGA-3M-AB46-01,TCGA-3M-AB46,89626,0.18457628759187522
TCGA-3M-AB47-01,TCGA-3M-AB47,89634,0.18459276283679005
TCGA-BR-8677-01,TCGA-BR-8677,89824,0.18498404990351686
TCGA-BR-6457-01,TCGA-BR-6457,89552,0.18442389157641323
TCGA-BR-8687-01,TCGA-BR-8687,89759,0.18485018853858398
TCGA-VQ-A91K-01,TCGA-VQ-A91K,89651,0.18462777273223402
TCGA-BR-8690-01,TCGA-BR-8690,89879,0.18509731721230618
TCGA-BR-8686-01,TCGA-BR-8686,89565,0.1844506638493998
TCGA-FP-8631-01,TCGA-FP-8631,89564,0.18444860444378544
TCGA-VQ-A922-01,TCGA-VQ-A922,89640,0.18460511927047615
TCGA-BR-A452-01,TCGA-BR-A452,90087,0.1855256735800913
TCGA-IN-A6RO-01,TCGA-IN-A6RO,90262,0.18588606956260284
TCGA-BR-A4QI-01,TCGA-BR-A4QI,91438,0.1883079305650803
TCGA-D7-A6EV-01,TCGA-D7-A6EV,89837,0.18501082217650341
TCGA-HU-A4G2-01,TCGA-HU-A4G2,90185,0.18572749533029778
TCGA-BR-A4IY-01,TCGA-BR-A4IY,91350,0.18812670287101738
TCGA-VQ-A8PU-01,TCGA-VQ-A8PU,89815,0.18496551525298768
TCGA-BR-A4J4-01,TCGA-BR-A4J4,90173,0.18570278246292554
TCGA-VQ-A94R-01,TCGA-VQ-A94R,89683,0.18469367371189327
TCGA-HU-A4H4-01,TCGA-HU-A4H4,90471,0.1863164853360023
TCGA-BR-7707-01,TCGA-BR-7707,89846,0.1850293568270326
TCGA-FP-7829-01,TCGA-FP-7829,89593,0.18450832720660162
TCGA-BR-A4J5-01,TCGA-BR-A4J5,90120,0.1855936339653649
TCGA-HU-A4H0-01,TCGA-HU-A4H0,91075,0.18756036632707068
TCGA-HU-A4HD-01,TCGA-HU-A4HD,90448,0.18626911900687224
TCGA-KB-A6F5-01,TCGA-KB-A6F5,90077,0.1855050795239478
TCGA-VQ-AA6K-01,TCGA-VQ-AA6K,89749,0.1848295944824405
TCGA-HF-7133-01,TCGA-HF-7133,89754,0.18483989151051225
TCGA-F1-6875-01,TCGA-F1-6875,89584,0.18448979255607248
