feature_id,missing_count,missing_rate
MIMAT0019868,307,0.7932816537467701
MIMAT0019869,287,0.7416020671834626
MIMAT0019860,355,0.917312661498708
MIMAT0019862,291,0.751937984496124
MIMAT0019864,258,0.6666666666666666
MIMAT0019865,160,0.4134366925064599
MIMAT0019866,355,0.917312661498708
MIMAT0019867,259,0.6692506459948321
MIMAT0027483,377,0.9741602067183462
MIMAT0027482,371,0.958656330749354
MIMAT0027481,376,0.9715762273901809
MIMAT0027480,383,0.9896640826873385
MIMAT0027487,327,0.8449612403100775
MIMAT0027486,196,0.5064599483204134
MIMAT0027485,363,0.937984496124031
MIMAT0027484,384,0.9922480620155039
MIMAT0027489,382,0.9870801033591732
MIMAT0027488,382,0.9870801033591732
MIMAT0027365,384,0.9922480620155039
MIMAT0027551,350,0.9043927648578811
MIMAT0027550,348,0.8992248062015504
MIMAT0027553,356,0.9198966408268734
MIMAT0027552,377,0.9741602067183462
MIMAT0027555,362,0.9354005167958657
MIMAT0027554,359,0.9276485788113695
MIMAT0027557,385,0.9948320413436692
MIMAT0027556,385,0.9948320413436692
MIMAT0000765,2,0.00516795865633075
MIMAT0000764,0,0.0
MIMAT0000761,0,0.0
MIMAT0000760,0,0.0
MIMAT0000763,0,0.0
MIMAT0000762,0,0.0
MIMAT0004958,36,0.09302325581395349
MIMAT0002891,9,0.023255813953488372
MIMAT0002890,6,0.015503875968992248
MIMAT0019048,326,0.8423772609819121
MIMAT0019049,361,0.9328165374677002
MIMAT0019047,240,0.6201550387596899
MIMAT0019044,374,0.9664082687338501
MIMAT0019042,377,0.9741602067183462
MIMAT0019040,374,0.9664082687338501
MIMAT0019041,348,0.8992248062015504
MIMAT0026736,253,0.6537467700258398
MIMAT0004761,61,0.15762273901808785
MIMAT0026734,44,0.11369509043927649
MIMAT0026735,330,0.8527131782945736
MIMAT0004947,235,0.6072351421188631
MIMAT0026738,6,0.015503875968992248
MIMAT0004762,82,0.21188630490956073
MIMAT0004765,82,0.21188630490956073
MIMAT0024598,217,0.5607235142118863
MIMAT0024599,386,0.9974160206718347
MIMAT0026742,294,0.7596899224806202
MIMAT0027027,374,0.9664082687338501
MIMAT0026741,358,0.9250645994832042
MIMAT0004766,0,0.0
MIMAT0018098,376,0.9715762273901809
MIMAT0018099,383,0.9896640826873385
MIMAT0004768,90,0.23255813953488372
MIMAT0005907,337,0.8708010335917312
MIMAT0027612,378,0.9767441860465116
MIMAT0027345,337,0.8708010335917312
MIMAT0004800,2,0.00516795865633075
MIMAT0004801,2,0.00516795865633075
MIMAT0004803,357,0.9224806201550387
MIMAT0004804,298,0.7700258397932817
MIMAT0004805,66,0.17054263565891473
MIMAT0026605,347,0.896640826873385
MIMAT0004808,0,0.0
MIMAT0004809,0,0.0
MIMAT0026608,350,0.9043927648578811
MIMAT0026609,378,0.9767441860465116
MIMAT0018090,315,0.813953488372093
MIMAT0004484,0,0.0
MIMAT0022706,53,0.13695090439276486
MIMAT0022705,94,0.24289405684754523
MIMAT0005909,105,0.2713178294573643
MIMAT0004481,0,0.0
MIMAT0004482,0,0.0
MIMAT0022700,286,0.7390180878552972
MIMAT0004488,163,0.42118863049095606
MIMAT0004489,0,0.0
MIMAT0022709,51,0.13178294573643412
MIMAT0022708,136,0.35142118863049093
MIMAT0018094,386,0.9974160206718347
MIMAT0028225,385,0.9948320413436692
