sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-3M-AB47-01,TCGA-3M-AB47,0.23936454409994407,0.41615915202215875,0.002152587222687732,0.5495937496565176,0.12181217533680871,0.12049157827186446,0.5417139676954734,0.7373237207382927,0.12508315825517488,0.11744878027495637,0.3552892481507054,0.625237845453004,0.4639743243178113,0.13228724237886896,0.309659810228136
TCGA-B7-5816-01,TCGA-B7-5816,0.23319611104851987,0.3199637559617788,0.26229783751979957,0.28455800227870487,0.30103650152704536,0.1490273415376942,0.23416913256162739,0.6663883914327156,0.7786556678286374,0.2231621213311381,0.28233466582159733,0.35489378535449173,0.19811397210626616,0.11080759856725672,0.37415959831406825
TCGA-B7-5818-01,TCGA-B7-5818,0.5883586554544354,0.76781591733299,0.33190118937109847,0.3022847895930456,0.18452563305615466,0.3256779729602619,0.2525971379799683,0.3461789042651267,0.45079713313301173,0.09772334726649212,0.23147921010208297,0.37298629120607835,0.1695345149097614,0.3175935008386417,0.06473617503893897
TCGA-B7-A5TI-01,TCGA-B7-A5TI,0.29820636957277,0.3354569314315543,0.6055949476679576,0.28483449844618824,0.003078135141212405,0.31030728309809225,0.24654017487120708,0.00023635099685505713,0.9005568212192355,0.3757703848255533,0.29404995141445833,0.09834747768855154,0.18521085145951807,0.7940568075992239,0.09741176299909737
TCGA-B7-A5TJ-01,TCGA-B7-A5TJ,0.3944528127647507,0.3527590631333814,1.1412714010283092,4.758136550641529e-05,2.9818487483535725e-06,0.12960758770610933,0.31853342358270315,0.5888429035903943,0.5955770232461078,0.5223715358212356,0.006532654739311019,0.19067560644571635,0.027647333992567132,0.33233975241688396,0.038818569521572456
TCGA-B7-A5TK-01,TCGA-B7-A5TK,0.19384412563016507,0.2240038388168207,0.4819788451507844,0.5421130465249888,0.15862847201172534,0.00037092321731658053,0.501560065266177,0.5964910404563731,0.19020192495638993,0.25707172394406563,0.5386104495258706,0.6315187131213963,0.22617093558577173,0.13796564399573719,0.006644159481006692
TCGA-B7-A5TN-01,TCGA-B7-A5TN,0.6593548845226064,2.813740816522723e-13,1.5895809493222412e-07,0.04531659588445304,1.954250073743693e-06,0.9015903753061139,0.5975878631925435,0.32374977059499455,0.7838816851954944,0.2959213351728217,2.932572841905457e-10,0.18299433284594147,0.00014530235645286837,0.7009589878751431,0.042875044352177955
TCGA-BR-6452-01,TCGA-BR-6452,0.21843231177605985,0.3097255784129081,0.30193909008995645,0.2833354018701646,0.2868976791012594,0.13645885159641816,0.2512558811610896,0.6671557156410705,0.4936641908866532,0.2542079259654602,0.32743083772963627,0.3572154379858643,0.21939021094233643,0.1288592413872351,0.3781344554936333
TCGA-BR-6453-01,TCGA-BR-6453,0.46878828112391263,0.21738944616474942,0.46695981473466225,0.2546467877313534,0.09425844973397086,0.16810465774546202,0.2625278399469022,0.6641377802821036,0.2257834089413801,0.3355491110487406,0.37503093632741635,0.3042611980721191,0.28777085068439834,0.140322029040836,0.3441961598973745
TCGA-BR-6454-01,TCGA-BR-6454,0.2395586085610157,0.0437953497147842,0.02434306588950751,0.04582685895712824,0.7845667894429634,0.6489028936963943,1.011911682148039e-05,0.33405629570603357,0.0997970575357913,0.1844947348169633,0.488339006783508,0.07589913029020608,0.49607586478328713,0.591025359166164,0.010584982505267538
